x,y,z
594.7544,19.02307,692.0154
594.7466,19.02444,691.9948
594.7389,19.02579,691.9742
594.7311,19.02714,691.9537
594.7233,19.02847,691.9332
594.7153,19.02984,691.9122
594.7073,19.03119,691.8912
594.6992,19.03252,691.8704
594.6912,19.03384,691.8497
594.6831,19.03514,691.8291
594.675,19.03643,691.8087
594.667,19.0377,691.7883
594.659,19.03895,691.7681
594.6506,19.04023,691.7473
594.6422,19.04151,691.7264
594.6338,19.04277,691.7056
594.6254,19.04401,691.685
594.6169,19.04523,691.6645
594.6086,19.04642,691.6442
594.6002,19.0476,691.6241
594.5918,19.04876,691.6041
594.5833,19.04993,691.5838
594.5746,19.05111,691.5634
594.5659,19.05228,691.543
594.5574,19.05346,691.5225
594.5487,19.05464,691.5021
594.54,19.05582,691.4817
594.5314,19.057,691.4613
594.5227,19.05818,691.4409
594.5141,19.05936,691.4204
594.5054,19.06054,691.4001
594.4968,19.06172,691.3797
594.4882,19.06291,691.3593
594.4794,19.06409,691.3389
594.4708,19.06527,691.3185
594.4621,19.06645,691.2981
594.4534,19.06762,691.2777
594.4447,19.0688,691.2573
594.436,19.06998,691.2369
594.4273,19.07116,691.2167
594.4186,19.07233,691.1962
594.4099,19.07351,691.1759
594.4011,19.07469,691.1556
594.3923,19.07586,691.1351
594.3835,19.07703,691.1149
594.3748,19.07821,691.0945
594.366,19.07938,691.0741
594.3572,19.08055,691.0538
594.3484,19.08172,691.0334
594.3397,19.08289,691.0131
594.3308,19.08405,690.9928
594.322,19.08522,690.9724
594.3132,19.08638,690.9521
594.3043,19.08754,690.9318
594.2954,19.0887,690.9115
594.2865,19.08986,690.8912
594.2776,19.09101,690.871
594.2687,19.09216,690.8506
594.2599,19.09332,690.8303
594.2509,19.09447,690.81
594.242,19.09561,690.7897
594.233,19.09676,690.7694
594.2241,19.0979,690.7491
594.2151,19.09904,690.7289
594.2061,19.10018,690.7086
594.1971,19.10131,690.6884
594.1881,19.10245,690.6681
594.1791,19.10357,690.6479
594.17,19.1047,690.6277
594.1609,19.10582,690.6074
594.1519,19.10694,690.5872
594.1428,19.10805,690.567
594.1337,19.10917,690.5468
594.1246,19.11028,690.5266
594.1154,19.11138,690.5064
594.1063,19.11248,690.4862
594.0971,19.11358,690.4661
594.0879,19.11468,690.4459
594.0787,19.11577,690.4257
594.0695,19.11685,690.4056
594.0602,19.11794,690.3854
594.051,19.11902,690.3652
594.0417,19.12009,690.3451
594.0324,19.12116,690.325
594.0231,19.12223,690.3049
594.0139,19.12329,690.2848
594.0045,19.12435,690.2647
593.995,19.1254,690.2446
593.9857,19.12645,690.2245
593.9763,19.1275,690.2044
593.9668,19.12853,690.1843
593.9574,19.12957,690.1642
593.9479,19.1306,690.1443
593.9385,19.13162,690.1242
593.929,19.13264,690.1041
593.9194,19.13366,690.0841
593.9099,19.13466,690.0641
593.9003,19.13567,690.0441
593.8906,19.13666,690.0241
593.8811,19.13765,690.0042
593.8714,19.13864,689.9843
593.8618,19.13961,689.9642
593.8521,19.14059,689.9443
593.8424,19.14156,689.9244
593.8326,19.14252,689.9044
593.8229,19.14347,689.8846
593.8132,19.14442,689.8647
593.8033,19.14536,689.8448
593.7935,19.1463,689.8249
593.7837,19.14723,689.805
593.7737,19.14815,689.7852
