x,y,z
484.0513,25.70536,531.1415
484.0795,25.71115,531.1051
484.1076,25.71694,531.0689
484.1361,25.72277,531.0326
484.165,25.72868,530.9959
484.1939,25.73458,530.9594
484.2228,25.74047,530.9232
484.2518,25.74635,530.8871
484.2809,25.75223,530.8513
484.3099,25.75809,530.8157
484.3389,25.76395,530.7803
484.3684,25.76987,530.7446
484.3983,25.77586,530.7087
484.4282,25.78183,530.673
484.4581,25.78779,530.6376
484.4881,25.79374,530.6024
484.5181,25.79967,530.5674
484.548,25.80559,530.5327
484.578,25.8115,530.4982
484.6088,25.81754,530.4631
484.6397,25.82358,530.4282
484.6707,25.82961,530.3934
484.7016,25.83562,530.359
484.7325,25.84161,530.3248
484.7635,25.84758,530.2909
484.7944,25.85353,530.2573
484.8258,25.85956,530.2233
484.8578,25.86566,530.1892
484.8897,25.87174,530.1553
484.9217,25.87779,530.1217
484.9537,25.88382,530.0884
484.9857,25.88983,530.0554
485.0176,25.89582,530.0227
485.0498,25.90182,529.9901
485.0825,25.90792,529.9573
485.1154,25.91406,529.9248
485.1484,25.92023,529.8925
485.1816,25.92644,529.8604
485.2149,25.93268,529.8285
485.2485,25.93897,529.7968
485.2823,25.94532,529.7653
485.3163,25.95169,529.7339
485.3504,25.95811,529.7028
485.3847,25.96455,529.6719
485.4191,25.97102,529.6413
485.4538,25.97755,529.6108
485.4886,25.98412,529.5804
485.5237,25.99072,529.5504
485.5588,25.99735,529.5205
485.5941,26.00401,529.4908
485.6295,26.01071,529.4614
485.6653,26.01746,529.4321
485.7011,26.02423,529.4031
485.7371,26.03104,529.3742
485.7732,26.03787,529.3456
485.8095,26.04473,529.3172
485.8459,26.05163,529.2889
485.8826,26.05857,529.2609
485.9193,26.06553,529.2331
485.9562,26.07252,529.2054
485.9933,26.07954,529.1781
486.0305,26.08658,529.1509
486.0678,26.09366,529.1239
486.1053,26.10077,529.0971
486.1429,26.1079,529.0705
486.1807,26.11505,529.0441
486.2186,26.12223,529.0179
486.2566,26.12944,528.9919
486.2948,26.13667,528.9662
486.3331,26.14393,528.9406
486.3715,26.15121,528.9152
486.4101,26.15852,528.8901
486.4487,26.16584,528.8651
486.4875,26.17319,528.8403
486.5265,26.18056,528.8158
486.5655,26.18795,528.7914
486.6046,26.19536,528.7672
486.644,26.2028,528.7432
486.6833,26.21025,528.7194
486.7228,26.21771,528.6958
486.7625,26.2252,528.6724
486.8022,26.2327,528.6492
486.842,26.24023,528.6262
486.882,26.24777,528.6033
486.922,26.25532,528.5807
486.9621,26.26289,528.5582
487.0024,26.27047,528.536
487.0427,26.27807,528.5139
487.0832,26.28569,528.492
487.1237,26.29332,528.4703
487.1644,26.30096,528.4487
487.2051,26.30861,528.4274
487.2459,26.31627,528.4063
487.2868,26.32395,528.3853
487.3278,26.33164,528.3644
487.3689,26.33934,528.3438
487.4101,26.34705,528.3234
487.4513,26.35477,528.3031
487.4927,26.36249,528.283
487.5341,26.37023,528.263
487.5756,26.37798,528.2432
487.6172,26.38574,528.2236
487.6588,26.39349,528.2042
487.7006,26.40125,528.1849
487.7424,26.40903,528.1658
487.7842,26.41681,528.1469
487.8262,26.4246,528.1281
487.8683,26.43239,528.1095
487.9103,26.44018,528.0911
487.9525,26.44797,528.0728
487.9947,26.45578,528.0546
488.037,26.46358,528.0366
488.0794,26.4714,528.0188
488.1218,26.47921,528.0011
488.1643,26.48702,527.9836
488.2068,26.49483,527.9662
488.2495,26.50265,527.949
488.2921,26.51047,527.9319
488.3349,26.5183,527.9149
488.3777,26.52611,527.8982
488.4205,26.53392,527.8815
488.4633,26.54174,527.865
488.5063,26.54956,527.8486
488.5493,26.55738,527.8324
488.5924,26.5652,527.8163
488.6355,26.573,527.8004
488.6786,26.58081,527.7845
488.7218,26.58862,527.7689
488.7651,26.59642,527.7533
488.8084,26.60423,527.7379
488.8517,26.61202,527.7226
488.8951,26.61981,527.7074
488.9385,26.62759,527.6924
488.982,26.63537,527.6774
489.0255,26.64315,527.6627
489.0691,26.65093,527.6479
489.1127,26.65869,527.6334
489.1563,26.66645,527.619
489.2,26.6742,527.6046
489.2437,26.68195,527.5905
489.2875,26.68969,527.5764
489.3314,26.69742,527.5624
489.3752,26.70514,527.5485
489.419,26.71285,527.5347
489.4629,26.72056,527.5211
489.5069,26.72826,527.5076
489.5509,26.73595,527.4941
489.5949,26.74363,527.4808
489.6389,26.75129,527.4675
489.683,26.75895,527.4544
489.7271,26.76659,527.4414
489.7712,26.77423,527.4285
489.8154,26.78186,527.4156
489.8596,26.78948,527.4029
489.9038,26.79708,527.3903
489.948,26.80467,527.3777
489.9923,26.81224,527.3652
490.0366,26.81981,527.3528
490.081,26.82737,527.3406
490.1253,26.83491,527.3284
490.1697,26.84243,527.3163
490.2141,26.84995,527.3042
490.2585,26.85744,527.2923
490.303,26.86493,527.2805
490.3475,26.8724,527.2687
490.392,26.87986,527.257
490.4366,26.88729,527.2454
490.4811,26.89472,527.2338
490.5257,26.90213,527.2223
490.5703,26.90952,527.2109
490.6149,26.9169,527.1996
490.6595,26.92426,527.1884
490.7042,26.9316,527.1771
490.7489,26.93893,527.166
490.7936,26.94624,527.155
490.8383,26.95353,527.144
490.883,26.9608,527.1331
490.9278,26.96806,527.1222
490.9726,26.97529,527.1115
491.0174,26.98251,527.1007
491.0622,26.98971,527.09
491.107,26.99688,527.0794
491.1518,27.00404,527.0688
491.1967,27.01118,527.0583
491.2416,27.0183,527.0479
491.2864,27.0254,527.0375
491.3314,27.03248,527.0271
491.3763,27.03953,527.0168
491.4212,27.04657,527.0065
491.4662,27.05358,526.9963
491.5111,27.06057,526.9861
491.5561,27.06754,526.9761
491.601,27.07448,526.9659
491.646,27.0814,526.9559
491.6911,27.08831,526.9459
491.7361,27.09519,526.9359
491.7811,27.10204,526.926
491.8262,27.10887,526.9161
491.8712,27.11567,526.9063
491.9163,27.12245,526.8965
491.9613,27.12923,526.8868
492.0065,27.13602,526.8773
492.0516,27.14282,526.868
492.0968,27.14963,526.8588
492.1421,27.15645,526.8499
492.1873,27.16328,526.841
492.2326,27.17011,526.8323
492.278,27.17694,526.8239
492.3233,27.18379,526.8155
492.3687,27.19064,526.8073
492.4141,27.1975,526.7993
492.4595,27.20437,526.7914
492.505,27.21123,526.7837
492.5504,27.2181,526.7761
492.5959,27.22497,526.7687
492.6415,27.23185,526.7615
492.6871,27.23873,526.7544
492.7327,27.24562,526.7475
492.7783,27.25251,526.7407
492.8239,27.25939,526.7341
492.8695,27.26628,526.7277
492.9152,27.27317,526.7213
492.9609,27.28006,526.7151
493.0066,27.28696,526.7091
493.0524,27.29386,526.7031
493.0981,27.30074,526.6974
493.1438,27.30763,526.6918
493.1896,27.31452,526.6863
493.2354,27.32141,526.681
493.2813,27.3283,526.6758
493.3271,27.3352,526.6708
493.3729,27.34207,526.6659
493.4187,27.34895,526.6611
493.4646,27.35582,526.6565
493.5105,27.36269,526.652
493.5564,27.36957,526.6476
493.6024,27.37644,526.6433
493.6483,27.3833,526.6392
493.6942,27.39015,526.6353
493.7401,27.39699,526.6313
493.7861,27.40384,526.6276
493.8321,27.41068,526.624
493.8781,27.41752,526.6205
493.9242,27.42436,526.6172
493.9701,27.43117,526.6139
494.016,27.43797,526.6108
494.062,27.44477,526.6078
494.1081,27.45157,526.6049
494.1542,27.45837,526.6021
494.2003,27.46516,526.5995
494.2463,27.47193,526.5969
494.2923,27.47868,526.5945
494.3383,27.48543,526.5922
494.3844,27.49218,526.59
494.4305,27.49892,526.5878
494.4767,27.50566,526.5858
494.5228,27.51238,526.584
494.5688,27.51907,526.5822
494.6149,27.52575,526.5804
494.6609,27.53243,526.5789
494.7071,27.53911,526.5774
494.7533,27.54577,526.576
494.7995,27.55244,526.5747
494.8456,27.55906,526.5735
494.8916,27.56567,526.5724
494.9377,27.57228,526.5714
494.9839,27.57887,526.5706
495.0301,27.58546,526.5697
495.0763,27.59204,526.569
495.1225,27.59861,526.5684
495.1685,27.60513,526.5679
495.2146,27.61165,526.5674
495.2608,27.61816,526.567
495.3069,27.62466,526.5668
495.3532,27.63116,526.5665
495.3995,27.63764,526.5664
495.4456,27.64409,526.5664
495.4917,27.65051,526.5664
495.5378,27.65693,526.5666
495.584,27.66333,526.5668
495.6302,27.66973,526.567
495.6765,27.67611,526.5674
495.7227,27.68248,526.5679
495.7688,27.6888,526.5684
495.8149,27.69511,526.5689
495.8611,27.70141,526.5696
495.9072,27.7077,526.5703
495.9535,27.71398,526.571
495.9998,27.72024,526.5719
496.046,27.72648,526.5729
496.0921,27.73268,526.5739
