UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
24.28893,537.7425,19.3257,639.8369,355.4012,189.7717,2.904201,537.7427,19.32584,639.8369,355.4016,189.7728,2.905859,0.6630764,0.0001564026,-0.0002441406,-0.0001449585,6.103516E-05,-0.0004577637,-0.001098633,-0.001658201,
24.29393,537.7393,19.32718,639.8187,355.3743,189.7183,2.910524,537.7397,19.32735,639.8187,355.3747,189.7192,2.912518,0.6675882,0.0001850128,-0.0003662109,-0.0001659393,6.103516E-05,-0.0003967285,-0.0009155273,-0.001994371,
24.29893,537.7363,19.32868,639.8006,355.3473,189.6651,2.916882,537.7366,19.32885,639.8005,355.3478,189.6664,2.919159,0.6720877,0.0001850128,-0.0003051758,-0.000169754,6.103516E-05,-0.0004882813,-0.001266479,-0.002277136,
24.30392,537.7332,19.33018,639.7823,355.3203,189.612,2.923293,537.7335,19.33036,639.7823,355.3207,189.6127,2.925936,0.6766319,0.0001926422,-0.0003051758,-0.0001773834,6.103516E-05,-0.0004272461,-0.0007629395,-0.00264287,
24.30892,537.7301,19.3317,639.7642,355.2932,189.5592,2.929717,537.7304,19.33186,639.7641,355.2935,189.5603,2.932498,0.6811714,0.0001831055,-0.0003051758,-0.0001678467,6.103516E-05,-0.0003356934,-0.001037598,-0.002781868,
24.31392,537.7271,19.33322,639.746,355.2659,189.5067,2.936177,537.7273,19.33337,639.746,355.2663,189.5073,2.93851,0.6857176,0.0001696683,-0.0002441406,-0.0001468658,0,-0.0003662109,-0.0005645752,-0.002332449,
24.31892,537.7239,19.33476,639.7278,355.2386,189.4541,2.942695,537.7242,19.33488,639.7277,355.239,189.4549,2.944525,0.6902781,0.0001316071,-0.0002441406,-0.0001182556,6.103516E-05,-0.0003662109,-0.0007324219,-0.001830101,
24.32392,537.7209,19.3363,639.7095,355.2113,189.4022,2.949209,537.7211,19.33638,639.7095,355.2115,189.403,2.950555,0.6948586,8.964539E-05,-0.0001831055,-8.010864E-05,0,-0.0002441406,-0.0007629395,-0.001346588,
24.32892,537.718,19.33786,639.6912,355.1838,189.3499,2.955801,537.718,19.3379,639.6912,355.1839,189.3503,2.956707,0.6994677,4.386902E-05,-6.103516E-05,-4.005432E-05,0,-9.155273E-05,-0.0004272461,-0.0009052753,
24.33392,537.715,19.33942,639.673,355.1563,189.298,2.962411,537.715,19.33944,639.673,355.1563,189.298,2.962876,0.7040672,1.144409E-05,0,-1.144409E-05,0,0,0,-0.0004651546,
24.33892,537.712,19.341,639.6547,355.1287,189.2463,2.969043,537.712,19.34106,639.6547,355.1284,189.2458,2.969103,0.7087021,6.484985E-05,-6.103516E-05,-6.103516E-05,0,0.000213623,0.0005187988,-5.912781E-05,
24.34392,537.709,19.34257,639.6366,355.1013,189.1959,2.975129,537.7092,19.34267,639.6366,355.1013,189.1954,2.975179,0.7132235,0.0001280199,-0.0002441406,-0.0001010895,0,0,0.0005187988,-4.982948E-05,
24.34892,537.7061,19.34414,639.6185,355.0739,189.1446,2.981346,537.7064,19.34428,639.6185,355.0739,189.1446,2.981347,0.7177725,0.000157284,-0.0002441406,-0.0001335144,0,0,0,-9.536743E-07,
24.35392,537.7032,19.34573,639.6003,355.0464,189.0946,2.987499,537.7035,19.34589,639.6003,355.0464,189.094,2.987544,0.722331,0.0001735687,-0.0003051758,-0.0001583099,6.103516E-05,0,0.0005493164,-4.506111E-05,
24.35892,537.7003,19.34732,639.5822,355.0187,189.044,2.993755,537.7006,19.3475,639.5822,355.0189,189.0439,2.993748,0.7268944,0.0001888275,-0.0003051758,-0.0001735687,6.103516E-05,-0.0001831055,3.051758E-05,6.914139E-06,
24.36391,537.6974,19.34893,639.564,354.9911,188.9939,3.000009,537.6978,19.34911,639.564,354.9912,188.9938,3.00001,0.7314825,0.0002057197,-0.0003051758,-0.0001811981,0,-9.155273E-05,0.0001068115,-7.152557E-07,
24.36891,537.6946,19.35055,639.5459,354.9633,188.9439,3.006318,537.6949,19.35072,639.5458,354.9636,188.9443,3.006264,0.7360687,0.0001888275,-0.0003051758,-0.0001735687,6.103516E-05,-0.0002441406,-0.0004425049,5.459785E-05,
24.37391,537.6917,19.35217,639.5277,354.9355,188.8939,3.012667,537.692,19.35233,639.5276,354.9357,188.8944,3.012612,0.7406807,0.0001792908,-0.0003051758,-0.000164032,6.103516E-05,-0.000213623,-0.0004730225,5.531311E-05,
24.37891,537.6888,19.35381,639.5095,354.9076,188.844,3.019066,537.6891,19.35395,639.5095,354.9077,188.8443,3.019028,0.7453022,0.0001544952,-0.0003051758,-0.0001392365,6.103516E-05,-0.0001525879,-0.0002746582,3.767014E-05,
24.38391,537.686,19.35546,639.4913,354.8796,188.7946,3.025465,537.6863,19.35556,639.4913,354.8798,188.795,3.025414,0.7499304,0.0001347755,-0.0002441406,-0.0001087189,0,-0.000213623,-0.0004119873,5.102158E-05,
24.38891,537.6832,19.35711,639.4731,354.8515,188.7453,3.031911,537.6834,19.35718,639.4731,354.8515,188.7453,3.031903,0.7545862,8.010864E-05,-0.0001831055,-7.05719E-05,0,-6.103516E-05,-3.051758E-05,7.390976E-06,
24.39391,537.6804,19.35878,639.4549,354.8233,188.6963,3.038371,537.6805,19.3588,639.4549,354.8234,188.6958,3.038411,0.7592344,2.098083E-05,-6.103516E-05,-1.716614E-05,0,-0.0001220703,0.00050354,-4.076958E-05,
24.39891,537.6776,19.36046,639.4366,354.795,188.6466,3.044947,537.6777,19.36049,639.4366,354.7949,188.6468,3.044938,0.7639217,4.386902E-05,-0.0001220703,-3.814697E-05,0,9.155273E-05,-0.0001678467,8.583069E-06,
24.40391,537.6749,19.36214,639.4183,354.7666,188.5977,3.051497,537.675,19.36223,639.4183,354.7664,188.5972,3.051555,0.7686024,9.346008E-05,-0.0001831055,-8.392334E-05,0,0.0001525879,0.0005187988,-5.817413E-05,
24.40891,537.6721,19.36384,639.4,354.7382,188.5492,3.058067,537.6724,19.36397,639.4,354.7378,188.5483,3.05817,0.7733059,0.0001537754,-0.0002441406,-0.0001277924,0,0.0003662109,0.0008544922,-0.00010252,
24.41391,537.6694,19.36555,639.3818,354.7096,188.5003,3.064718,537.6697,19.3657,639.3818,354.7093,188.4997,3.0648,0.7780046,0.0001768082,-0.0003051758,-0.0001506805,0,0.0003356934,0.0005645752,-8.106232E-05,
24.41891,537.6666,19.36726,639.3635,354.6811,188.4519,3.071229,537.6669,19.36743,639.3635,354.6806,188.4512,3.071462,0.7826958,0.0001850128,-0.0003051758,-0.000169754,6.103516E-05,0.0004882813,0.0006866455,-0.0002331734,
24.4239,537.664,19.36897,639.3454,354.6526,188.4042,3.077477,537.6643,19.36916,639.3454,354.6523,188.4034,3.078071,0.7873344,0.0002057197,-0.0003051758,-0.0001811981,0,0.0002441406,0.0007781982,-0.0005939007,
24.4289,537.6613,19.3707,639.3273,354.6241,188.3565,3.083777,537.6616,19.37088,639.3272,354.6239,188.3558,3.084716,0.7919893,0.0002002716,-0.0003662109,-0.0001811981,6.103516E-05,0.000213623,0.0006713867,-0.0009393692,
24.4339,537.6587,19.37243,639.3091,354.5954,188.3089,3.090113,537.6589,19.3726,639.3091,354.5953,188.3084,3.091389,0.7966585,0.0001966328,-0.0002441406,-0.0001735687,0,9.155273E-05,0.00050354,-0.001276255,
24.4389,537.656,19.37417,639.2908,354.5667,188.2612,3.096523,537.6563,19.37434,639.2908,354.5665,188.261,3.098129,0.8013582,0.0001875904,-0.0002441406,-0.000164032,0,0.000213623,0.0001831055,-0.001606464,
24.4439,537.6533,19.37592,639.2727,354.5379,188.2139,3.102933,537.6536,19.37606,639.2727,354.5378,188.2136,3.104891,0.8060427,0.0001608066,-0.0002441406,-0.0001354218,0,6.103516E-05,0.0002288818,-0.001958132,
24.4489,537.6507,19.37769,639.2545,354.5089,188.1669,3.109363,537.6509,19.37778,639.2545,354.5089,188.1664,3.111693,0.8107452,0.0001087189,-0.0001831055,-9.918213E-05,0,0,0.0004730225,-0.002329826,
24.4539,537.6481,19.37946,639.2363,354.4799,188.1194,3.115889,537.6482,19.37951,639.2363,354.48,188.1198,3.11848,0.8154564,5.340576E-05,-6.103516E-05,-4.959106E-05,0,-6.103516E-05,-0.0003967285,-0.002591133,
24.4589,537.6455,19.38124,639.218,354.4508,188.0721,3.122448,537.6455,19.38125,639.218,354.4507,188.0721,3.125441,0.8202124,7.629395E-06,0,-7.629395E-06,0,0.0001220703,3.051758E-05,-0.00299263,
24.4639,537.643,19.38304,639.1998,354.4216,188.0251,3.129023,537.643,19.38309,639.1998,354.4216,188.0255,3.13161,0.8249369,5.722046E-05,0,-5.722046E-05,0,-3.051758E-05,-0.0003814697,-0.00258708,
24.4689,537.6404,19.38484,639.1816,354.3922,187.9787,3.135591,537.6405,19.38494,639.1816,354.3922,187.9785,3.137825,0.8296938,0.0001087189,-0.0001220703,-0.0001029968,0,3.051758E-05,0.0002288818,-0.002234221,
24.4739,537.6378,19.38666,639.1633,354.3629,187.932,3.142237,537.638,19.3868,639.1633,354.3628,187.932,3.144039,0.8344574,0.0001487732,-0.0001831055,-0.0001392365,0,9.155273E-05,0,-0.001801252,
24.4789,537.6353,19.38848,639.1451,354.3333,187.8853,3.148938,537.6356,19.38865,639.1451,354.3333,187.8853,3.150331,0.8392305,0.000189395,-0.0003051758,-0.000164032,0,6.103516E-05,0,-0.001392365,
24.48389,537.6328,19.39032,639.1268,354.3036,187.8394,3.155604,537.6331,19.3905,639.1268,354.3035,187.8386,3.156669,0.8440294,0.000203899,-0.0002441406,-0.0001811981,0,0.0001220703,0.0007324219,-0.001064539,
24.48889,537.6303,19.39216,639.1085,354.274,187.7927,3.162397,537.6306,19.39235,639.1085,354.2737,187.7925,3.163007,0.8488216,0.0002093657,-0.0002441406,-0.0001869202,0,0.000213623,0.0001983643,-0.0006093979,
24.49389,537.6277,19.39402,639.0901,354.2442,187.7467,3.169163,537.6281,19.39421,639.0901,354.2437,187.7457,3.169469,0.8536549,0.0002148457,-0.0003051758,-0.0001907349,0,0.0004577637,0.001052856,-0.0003063679,
24.49889,537.6253,19.39588,639.072,354.2144,187.7005,3.175774,537.6255,19.39605,639.072,354.214,187.7001,3.175834,0.8584309,0.0001948205,-0.0002441406,-0.0001716614,0,0.0003356934,0.0004119873,-6.008148E-05,
24.50389,537.6228,19.39774,639.0538,354.1845,187.655,3.182168,537.623,19.39789,639.0538,354.1844,187.6552,3.182159,0.8631868,0.000173233,-0.0002441406,-0.0001487732,0,0.0001220703,-0.0001831055,9.536743E-06,
24.50889,537.6204,19.39962,639.0356,354.1546,187.6093,3.188646,537.6205,19.39974,639.0356,354.1545,187.6095,3.188633,0.8679781,0.0001277924,-0.0001220703,-0.0001220703,0,0.0001525879,-0.000213623,1.263618E-05,
