UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
0,586.1,18.65,696.6,355.6315,196.8044,359.802,595.3426,18.88603,693.8279,355.5237,196.3035,0.4632651,0.5034809,0.2034036,-9.242615,-0.2360306,2.772095,0.1078186,0.500946,359.3388,
0.005,605.6736,18.68445,693.7114,355.6315,196.8044,359.802,596.1,18.65,696.6,355.6316,196.8074,359.8018,0.1197207,1.907349E-06,9.573669,0.03445053,-2.88855,-0.0001220703,-0.003005981,0.000213623,
0.01,605.6689,18.68573,693.6956,355.5555,196.4528,359.8388,596.0791,18.65628,696.5252,355.4012,195.7353,359.9264,0.1743007,0.001414807,9.589783,0.02944756,-2.829651,0.1543884,0.717453,-0.08758545,
0.015,605.6813,18.68074,693.7365,355.4952,196.1691,359.8709,596.0774,18.6568,696.5191,355.3909,195.6871,359.9331,0.1778001,0.001498434,9.603882,0.02394485,-2.782593,0.1043701,0.4819946,-0.06219482,
0.02,605.6897,18.67671,693.7648,355.4445,195.9334,359.8997,596.0743,18.65771,696.5082,355.3743,195.6059,359.9448,0.1839893,0.001568069,9.615356,0.01900482,-2.743469,0.07028198,0.3274841,-0.04504395,
0.025,605.6959,18.67317,693.7863,355.4075,195.7609,359.9226,596.0724,18.6583,696.5012,355.3644,195.5593,359.9519,0.188006,0.001401505,9.623474,0.01486588,-2.714844,0.04309082,0.2016449,-0.02932739,
0.03,605.6993,18.67061,693.7981,355.379,195.631,359.9413,596.0696,18.65912,696.4914,355.3508,195.4976,359.9615,0.1934956,0.001279943,9.629639,0.01148224,-2.693298,0.02816772,0.1334686,-0.02023315,
0.035,605.7004,18.66883,693.802,355.3538,195.511,359.9594,596.0652,18.66047,696.4753,355.3312,195.408,359.9765,0.2023974,0.001311746,9.635193,0.008361816,-2.67334,0.02258301,0.1030273,-0.01712036,
0.04,605.7008,18.66725,693.8033,355.3317,195.4074,359.9763,596.0607,18.66181,696.4595,355.3141,195.3286,359.9904,0.2107993,0.001338306,9.640076,0.00544548,-2.656189,0.01760864,0.07876587,-0.0140686,
0.04499999,605.7006,18.66588,693.8019,355.313,195.3202,359.9916,596.0563,18.66313,696.4437,355.3012,195.2639,0.001720105,0.2178837,0.001289437,9.644226,0.002750397,-2.641785,0.0118103,0.05635071,359.9899,
0.04999999,605.6999,18.66466,693.7997,355.2986,195.2543,0.003713817,596.0526,18.66424,696.4305,355.2914,195.2209,0.01026167,0.2237395,0.001075068,9.647278,0.000421524,-2.630859,0.007171631,0.03335571,-0.006547849,
0.05499999,605.6981,18.66402,693.7933,355.2856,195.1925,0.01553323,596.048,18.66563,696.414,355.2796,195.1646,0.02120651,0.2310265,0.001100327,9.650085,-0.00160408,-2.620667,0.005981445,0.02787781,-0.00567328,
0.05999999,605.6961,18.6635,693.7856,355.2742,195.1375,0.02681855,596.0433,18.66704,696.3973,355.2692,195.1169,0.03153297,0.2382893,0.001130799,9.652771,-0.003536224,-2.611633,0.004974365,0.02061462,-0.004714411,
0.06499999,605.6936,18.66312,693.7763,355.2632,195.0896,0.03754278,596.0385,18.66848,696.38,355.2592,195.0684,0.04211892,0.245667,0.00117146,9.65509,-0.005367279,-2.603699,0.00402832,0.02111816,-0.004576143,
0.06999999,605.6906,18.66287,693.7654,355.254,195.0443,0.04801828,596.0336,18.67007,696.3616,355.2507,195.029,0.05193874,0.2528924,0.001160095,9.657043,-0.007200241,-2.596191,0.003295898,0.01527405,-0.003920455,
0.075,605.6881,18.6625,693.7561,355.2466,195.0085,0.05684607,596.0295,18.67138,696.3464,355.2444,194.9988,0.05944513,0.2583331,0.001008771,9.658569,-0.008886337,-2.590271,0.002227783,0.009628296,-0.002599061,
0.08,605.6851,18.66245,693.7448,355.2396,194.979,0.06515023,596.0252,18.67278,696.3302,355.2382,194.971,0.06708952,0.2640681,0.001003091,9.659912,-0.01033592,-2.585449,0.001342773,0.008026123,-0.001939289,
0.085,605.6818,18.66252,693.732,355.2336,194.9484,0.07356428,596.0205,18.67432,696.3124,355.2322,194.9425,0.07532675,0.2702888,0.000997505,9.661255,-0.01179886,-2.580444,0.001312256,0.005889893,-0.001762465,
0.09,605.6782,18.66261,693.7191,355.2279,194.922,0.08163548,596.0159,18.67582,696.2951,355.2267,194.9166,0.08319736,0.2762626,0.000997505,9.662292,-0.01320267,-2.57605,0.001220703,0.005386353,-0.00156188,
0.09500001,605.6745,18.6628,693.705,355.2227,194.897,0.08959541,596.011,18.67739,696.2769,355.2217,194.8919,0.09126053,0.282462,0.000997505,9.663452,-0.0145874,-2.57196,0.0009765625,0.005020142,-0.001665115,
0.1,605.6706,18.66304,693.6903,355.218,194.8762,0.09719864,596.0063,18.67895,696.2589,355.2172,194.8714,0.09874514,0.2883654,0.000997505,9.664307,-0.01590919,-2.568542,0.0007629395,0.004821777,-0.001546502,
0.105,605.667,18.66319,693.6768,355.2144,194.8584,0.1038715,596.0019,18.68037,696.2424,355.2137,194.8542,0.1049642,0.2932093,0.0008852091,9.6651,-0.0171833,-2.565674,0.0007324219,0.004150391,-0.001092695,
0.11,605.6631,18.66352,693.6624,355.2108,194.8408,0.1105246,595.9973,18.68186,696.2252,355.2107,194.8424,0.1109806,0.2982323,0.0008833063,9.665833,-0.01834106,-2.562805,0.0001220703,-0.001586914,-0.0004559755,
0.115,605.6592,18.66389,693.6476,355.2077,194.8275,0.1168303,595.9928,18.68333,696.2082,355.2075,194.8246,0.1173983,0.3031056,0.0008833063,9.666443,-0.01943779,-2.560608,0.000213623,0.002838135,-0.0005680099,
0.12,605.6552,18.66434,693.632,355.2048,194.8138,0.1231597,595.9881,18.68486,696.1905,355.2047,194.8123,0.1236032,0.3081505,0.0009023352,9.667114,-0.02051926,-2.558472,0.0001831055,0.001586914,-0.0004434809,
0.125,605.6509,18.66482,693.616,355.2023,194.8011,0.1294104,595.9833,18.68642,696.1724,355.2022,194.8023,0.1296971,0.3132126,0.0009042381,9.667664,-0.02160454,-2.556396,9.155273E-05,-0.001113892,-0.0002867132,
0.13,605.6466,18.66533,693.5996,355.2003,194.7912,0.1354349,595.9785,18.68798,696.1544,355.2002,194.7923,0.1357753,0.3181931,0.0009080442,9.668091,-0.02264977,-2.55481,9.155273E-05,-0.00112915,-0.0003403723,
0.135,605.6422,18.66587,693.5829,355.1981,194.7812,0.1413538,595.9737,18.68956,696.1362,355.1982,194.7825,0.141773,0.323052,0.0008909176,9.668518,-0.02369499,-2.553223,-6.103516E-05,-0.001296997,-0.0004191995,
0.14,605.6381,18.66633,693.5675,355.1968,194.775,0.1465727,595.9694,18.69099,696.1198,355.1969,194.7759,0.1466778,0.3270761,0.0008338408,9.668762,-0.02466011,-2.552246,-9.155273E-05,-0.000869751,-0.0001050979,
0.145,605.6337,18.66693,693.551,355.1953,194.7686,0.1518109,595.9647,18.69252,696.1022,355.1954,194.7689,0.151916,0.3313359,0.0008205257,9.669006,-0.02558517,-2.551208,-9.155273E-05,-0.000289917,-0.0001050979,
0.15,605.6294,18.66755,693.5344,355.194,194.7629,0.1569818,595.9601,18.69404,696.0847,355.1942,194.7638,0.1569677,0.3355238,0.0008167217,9.66925,-0.02648735,-2.550354,-0.0002441406,-0.0008850098,1.40816E-05,
0.155,605.6249,18.66821,693.5175,355.193,194.7574,0.1621404,595.9554,18.69559,696.067,355.1931,194.7582,0.1621399,0.3397281,0.00082433,9.669495,-0.02737808,-2.5495,-9.155273E-05,-0.0007629395,4.61936E-07,
0.16,605.6204,18.66888,693.5002,355.1922,194.754,0.1671336,595.9507,18.69713,696.0492,355.1922,194.7542,0.1671737,0.3438747,0.0008273079,9.669678,-0.02824974,-2.54895,3.051758E-05,-0.0002288818,-4.014373E-05,
0.165,605.6157,18.6696,693.4825,355.1915,194.7501,0.1721568,595.9459,18.69872,696.0309,355.1915,194.7509,0.1722902,0.3480952,0.0008205257,9.6698,-0.02912331,-2.548401,6.103516E-05,-0.0008544922,-0.0001334101,
